iter	Passed	Remaining
575	22021	16210
576	22071	16180
577	22139	16163
578	22180	16127
579	22211	16084
580	22240	16039
581	22273	15997
582	22314	15960
583	22351	15921
584	22392	15885
585	22431	15847
586	22459	15802
587	22491	15759
588	22525	15717
589	22554	15673
590	22586	15630
591	22624	15592
592	22667	15557
593	22712	15523
594	22751	15486
595	22786	15445
596	22816	15402
597	22843	15356
598	22871	15311
599	22899	15266
600	22938	15228
601	22977	15190
602	23024	15158
603	23077	15130
604	23113	15090
605	23165	15061
606	23202	15022
607	23239	14983
608	23285	14949
609	23327	14914
610	23371	14879
611	23421	14848
612	23482	14825
613	23541	14800
614	23575	14758
615	23613	14720
616	23649	14680
617	23692	14644
618	23728	14605
619	23756	14560
620	23790	14519
621	23824	14478
622	23857	14437
623	23895	14398
624	23926	14355
625	23953	14310
626	23979	14265
627	24005	14219
628	24034	14175
629	24066	14134
630	24098	14092
631	24132	14052
632	24181	14019
633	24209	13975
634	24236	13931
635	24263	13886
636	24293	13843
637	24338	13809
638	24374	13770
639	24412	13731
640	24441	13688
641	24469	13645
642	24497	13601
643	24524	13557
644	24552	13513
645	24577	13467
646	24603	13423
647	24632	13380
648	24663	13339
649	24705	13302
650	24736	13261
651	24768	13220
652	24798	13177
653	24826	13134
654	24854	13091
655	24881	13047
656	24909	13004
657	24937	12961
658	24964	12917
659	24992	12875
660	25020	12832
661	25051	12790
662	25082	12749
663	25108	12705
664	25132	12660
665	25157	12616
666	25209	12585
667	25233	12541
668	25257	12496
669	25280	12451
670	25298	12403
671	25320	12358
672	25349	12316
673	25379	12275
674	25408	12233
675	25442	12194
676	25479	12156
677	25508	12114
678	25537	12073
679	25564	12030
680	25596	11990
681	25628	11950
682	25661	11910
683	25692	11869
684	25718	11826
685	25749	11786
686	25788	11749
687	25834	11715
688	25880	11682
689	25921	11646
690	25963	11610
691	25999	11571
692	26031	11531
693	26070	11495
694	26112	11459
695	26158	11425
696	26201	11390
697	26276	11368
698	26309	11329
699	26348	11292
700	26386	11254
701	26435	11221
702	26470	11183
703	26507	11145
704	26535	11103
705	26561	11061
706	26586	11018
707	26612	10975
708	26644	10935
709	26677	10896
710	26707	10855
711	26739	10816
712	26765	10773
713	26793	10732
714	26818	10689
715	26845	10648
716	26873	10606
717	26905	10567
718	26938	10528
719	26969	10487
720	26998	10447
721	27028	10407
722	27056	10366
723	27084	10324
724	27111	10283
725	27139	10242
726	27167	10201
727	27196	10161
728	27220	10119
729	27247	10077
730	27300	10046
731	27326	10004
732	27353	9963
733	27384	9924
734	27411	9883
735	27440	9842
736	27469	9802
737	27497	9761
738	27523	9720
739	27549	9679
740	27571	9637
741	27599	9596
742	27627	9556
743	27656	9516
744	27688	9477
745	27725	9439
746	27760	9402
747	27785	9361
748	27813	9320
749	27836	9278
750	27862	9237
751	27890	9197
752	27917	9157
753	27944	9117
754	27970	9076
755	27997	9036
756	28026	8996
757	28051	8955
758	28078	8915
759	28106	8875
760	28135	8836
761	28161	8795
762	28190	8756
763	28216	8716
764	28243	8676
765	28272	8636
766	28326	8605
767	28359	8566
768	28392	8528
769	28427	8491
770	28461	8453
771	28495	8415
772	28533	8379
773	28592	8348
774	28646	8316
775	28692	8282
776	28735	8247
777	28783	8213
778	28824	8177
779	28890	8148
780	28939	8114
781	28989	8081
782	29038	8047
783	29079	8011
784	29137	7980
785	29183	7945
786	29217	7907
787	29250	7869
788	29277	7829
789	29306	7790
790	29368	7759
791	29397	7720
792	29427	7681
793	29455	7642
794	29483	7602
795	29508	7562
796	29534	7522
797	29566	7484
798	29591	7444
799	29620	7405
800	29647	7365
801	29679	7327
802	29705	7287
803	29734	7248
804	29766	7210
805	29799	7172
806	29833	7134
807	29861	7095
808	29891	7057
809	29922	7018
810	29957	6981
811	29996	6945
812	30030	6907
813	30065	6869
814	30097	6831
815	30122	6792
816	30149	6753
817	30172	6713
818	30207	6675
819	30239	6637
820	30273	6600
821	30309	6563
822	30341	6525
823	30400	6493
824	30435	6456
825	30472	6419
826	30503	6381
827	30529	6341
828	30560	6303
829	30587	6264
830	30614	6226
831	30643	6187
832	30673	6149
833	30697	6110
834	30725	6071
835	30751	6032
836	30782	5994
837	30809	5956
838	30836	5917
839	30862	5878
840	30891	5840
841	30915	5801
842	30943	5762
843	30980	5726
844	31004	5687
845	31031	5648
846	31061	5610
847	31087	5572
848	31114	5533
849	31141	5495
850	31176	5458
851	31211	5421
852	31261	5387
853	31291	5349
854	31319	5311
855	31359	5275
856	31399	5239
857	31461	5206
858	31500	5170
859	31537	5134
860	31573	5097
861	31609	5060
862	31642	5023
863	31698	4989
864	31828	4967
865	32022	4954
866	32069	4919
867	32100	4881
868	32126	4842
869	32155	4804
870	32184	4766
871	32212	4728
872	32239	4690
873	32266	4651
874	32302	4614
875	32337	4577
876	32364	4539
877	32393	4501
878	32423	4463
879	32475	4428
880	32502	4390
881	32527	4351
882	32555	4313
883	32582	4275
884	32610	4237
885	32635	4199
886	32661	4160
887	32693	4123
888	32724	4085
889	32750	4047
890	32780	4010
891	32808	3972
892	32836	3934
893	32867	3897
894	32897	3859
895	32926	3821
896	32953	3783
897	32979	3746
898	33006	3708
899	33033	3670
900	33066	3633
901	33092	3595
902	33128	3558
903	33156	3521
904	33182	3483
905	33209	3445
906	33230	3407
907	33257	3369
908	33283	3332
909	33311	3294
910	33347	3257
911	33380	3220
912	33408	3183
913	33444	3146
914	33488	3110
915	33529	3074
916	33561	3037
917	33590	3000
918	33615	2962
919	33644	2925
920	33671	2888
921	33700	2851
922	33730	2813
923	33758	2776
924	33787	2739
925	33815	2702
926	33842	2665
927	33873	2628
928	33900	2590
929	33930	2553
930	33957	2516
931	33986	2479
932	34020	2443
933	34061	2406
934	34113	2371
935	34147	2334
936	34177	2297
937	34213	2261
938	34248	2224
939	34282	2188
940	34319	2151
941	34353	2115
942	34387	2078
943	34423	2042
944	34464	2005
945	34513	1970
946	34559	1934
947	34598	1897
948	34638	1861
949	34680	1825
950	34724	1789
951	34762	1752
952	34794	1716
953	34839	1679
954	34875	1643
955	34908	1606
956	34939	1569
957	34970	1533
958	35004	1496
959	35035	1459
960	35069	1423
961	35098	1386
962	35133	1349
963	35171	1313
964	35200	1276
965	35234	1240
966	35260	1203
967	35287	1166
968	35319	1129
969	35345	1093
970	35373	1056
971	35399	1019
972	35425	983
973	35450	946
974	35476	909
975	35504	873
976	35535	836
977	35574	800
978	35606	763
979	35630	727
980	35656	690
981	35685	654
982	35714	617
983	35742	581
984	35771	544
985	35799	508
986	35827	471
987	35850	435
988	35878	399
989	35920	362
990	35946	326
991	35974	290
992	36003	253
993	36028	217
994	36057	181
995	36086	144
996	36114	108
997	36144	72
998	36179	36
999	36212	0
